ID,year,Y,X1,X2,X3,X4,X5,X6
上海,2011,0.491101817,0.399995246,0.554086682,0.464228662,0.511301856,0.545241276,0.474813851
南京市,2011,0.150619774,0.399652274,0.879832094,0.071917793,0.054226573,0.087877652,0.139256153
无锡市,2011,0.16978647,0.393040169,0.112471847,0.063037824,0.054613783,0.095522179,0.08455897
常州市,2011,0.083710464,0.388542871,0.10841777,0.035159192,0.027071556,0.047190569,0.039794774
苏州市,2011,0.269890515,0.406756779,0.189403944,0.11254403,0.12363921,0.144267184,0.148806157
南通市,2011,0.096735606,0.340804025,0.075407572,0.042119437,0.028343919,0.081563887,0.038237535
盐城市,2011,0.062586354,0.239372079,0.054331636,0.040642697,0.025594186,0.070504194,0.016007347
扬州市,2011,0.058906913,0.31579026,0.078970644,0.023392462,0.020398236,0.039024336,0.018059261
镇江市,2011,0.050587975,0.346311978,0.090185935,0.015969017,0.014081093,0.025387954,0.018952702
泰州市,2011,0.053488166,0.293989605,0.045830023,0.023108446,0.01002773,0.035141469,0.018153434
杭州市,2011,0.173410586,0.439532355,0.483327214,0.081736227,0.079717315,0.124909069,0.207354195
嘉兴市,2011,0.060127542,0.435548954,0.055999737,0.020523356,0.019892536,0.047880634,0.037302246
湖州市,2011,0.029940299,0.376651039,0.021484741,0.009790091,0.008370273,0.024210439,0.017983876
舟山市,2011,0.010443017,0.338440834,0.018859839,0.009351514,0.004076403,0.008255803,0.010909454
金华市,2011,0.054413334,0.392232015,0.078558551,0.019854972,0.017232612,0.051480382,0.043303351
绍兴市,2011,0.077214263,0.378674296,0.055598604,0.022056322,0.02660018,0.048408788,0.053399239
温州市,2011,0.079471995,0.40530353,0.075944609,0.036201933,0.01482401,0.086182865,0.078270241
台州市,2011,0.062145022,0.374527015,0.027626683,0.02353223,0.010878793,0.054642453,0.040624048
宁波市,2011,0.148368732,0.412003367,0.152011968,0.082124169,0.063801735,0.110417485,0.133395315
宣城市,2011,0.00779868,0.197719817,0.000343046,0.008636686,0.007609724,0.020642328,0.002146032
滁州市,2011,0.012471157,0.062985431,0.039642049,0.013595644,0.001709649,0.021780952,0.003362256
池州市,2011,0,0.107687243,0.023651518,0.002106602,0,0.00628908,0
合肥市,2011,0.085161454,0.343279064,0.442540949,0.04881442,0.042364591,0.059472108,0.063619151
铜陵市,2011,0.005398639,0.257793632,0.024827518,0,0.001830961,0,0.001828981
马鞍山市,2011,0.020133662,0.180179559,0.044149866,0.00816711,0.005831896,0.017061422,0.006321065
芜湖市,2011,0.033545623,0.217355853,0.147905284,0.020229015,0.031922614,0.02779316,0.013912284
安庆市,2011,0.02200064,0,0.035356718,0.017416667,0.005776178,0.041872759,0.004792743
上海,2012,0.516827575,0.624843867,0.548949765,0.496729463,0.574615288,0.645705753,0.465661833
南京市,2012,0.17817237,0.629772229,0.708254468,0.084410595,0.07990328,0.117787558,0.154477405
无锡市,2012,0.18773653,0.586781148,0.113585375,0.069793344,0.066942204,0.108624866,0.092072104
常州市,2012,0.093856548,0.587199895,0.090427053,0.038710267,0.042122203,0.058472324,0.045284906
苏州市,2012,0.303668503,0.610695172,0.204380682,0.125929274,0.154166505,0.173920872,0.17137391
南通市,2012,0.10921848,0.550635941,0.076364374,0.053417316,0.031397165,0.106508523,0.045340766
盐城市,2012,0.071683237,0.488197555,0.053602801,0.048643761,0.035514946,0.086165535,0.019519424
扬州市,2012,0.066809581,0.521863995,0.085616742,0.025859448,0.020679416,0.047319333,0.02177305
镇江市,2012,0.058909978,0.541068148,0.08397385,0.019874934,0.021681648,0.038212358,0.022632978
泰州市,2012,0.060768908,0.516650859,0.046889847,0.027803446,0.011294685,0.05066518,0.021792054
杭州市,2012,0.193837883,0.685519344,0.496983281,0.086418004,0.092095343,0.139944525,0.217578406
嘉兴市,2012,0.065697432,0.609502641,0.060309179,0.022949211,0.022194402,0.057276875,0.03996443
